threshold,accuracy,escalation_rate
0.0,0.5974842767295597,0.0
0.1,0.5974842767295597,0.009433962264150943
0.2,0.6022012578616353,0.03537735849056604
0.30000000000000004,0.6053459119496856,0.05660377358490566
0.4,0.6077044025157232,0.07547169811320754
0.5,0.6077044025157232,0.0880503144654088
0.6000000000000001,0.6124213836477987,0.11477987421383648
0.7000000000000001,0.6132075471698113,0.1320754716981132
0.8,0.6147798742138365,0.14544025157232704
0.9,0.6147798742138365,0.15880503144654087
1.0,0.6163522012578616,0.17295597484276728
1.1,0.6226415094339622,0.19103773584905662
1.2000000000000002,0.6242138364779874,0.20047169811320756
1.3,0.6234276729559748,0.2138364779874214
1.4000000000000001,0.6265723270440252,0.22641509433962265
1.5,0.6257861635220126,0.2389937106918239
1.6,0.6297169811320755,0.2539308176100629
1.7000000000000002,0.6336477987421384,0.26572327044025157
1.8,0.6352201257861635,0.2783018867924528
1.9000000000000001,0.6367924528301887,0.2869496855345912
2.0,0.6360062893081762,0.2979559748427673
2.1,0.6367924528301887,0.30660377358490565
2.2,0.6360062893081762,0.32075471698113206
2.3000000000000003,0.6367924528301887,0.33254716981132076
2.4000000000000004,0.6360062893081762,0.345125786163522
2.5,0.6415094339622641,0.36163522012578614
2.6,0.6422955974842768,0.37971698113207547
2.7,0.6430817610062893,0.3915094339622642
2.8000000000000003,0.6430817610062893,0.4025157232704403
2.9000000000000004,0.6422955974842768,0.41352201257861637
3.0,0.6415094339622641,0.4229559748427673
3.1,0.6430817610062893,0.44654088050314467
3.2,0.6446540880503144,0.455188679245283
3.3000000000000003,0.6454402515723271,0.46540880503144655
3.4000000000000004,0.6438679245283019,0.4740566037735849
3.5,0.6462264150943396,0.48663522012578614
3.6,0.6470125786163522,0.4992138364779874
3.7,0.6470125786163522,0.5141509433962265
3.8000000000000003,0.6454402515723271,0.5290880503144654
3.9000000000000004,0.6454402515723271,0.5440251572327044
4.0,0.6454402515723271,0.5550314465408805
4.1000000000000005,0.6438679245283019,0.5644654088050315
4.2,0.6446540880503144,0.5715408805031447
4.3,0.6462264150943396,0.5849056603773585
4.4,0.6454402515723271,0.5998427672955975
4.5,0.6470125786163522,0.610062893081761
4.6000000000000005,0.6477987421383647,0.6234276729559748
4.7,0.6485849056603774,0.6415094339622641
4.800000000000001,0.6462264150943396,0.6580188679245284
4.9,0.6462264150943396,0.6666666666666666
5.0,0.6454402515723271,0.6808176100628931
5.1000000000000005,0.6454402515723271,0.690251572327044
5.2,0.6438679245283019,0.7004716981132075
5.300000000000001,0.6430817610062893,0.7248427672955975
5.4,0.6430817610062893,0.7429245283018868
5.5,0.6430817610062893,0.7586477987421384
5.6000000000000005,0.6422955974842768,0.7751572327044025
5.7,0.6415094339622641,0.7900943396226415
5.800000000000001,0.6415094339622641,0.8026729559748428
5.9,0.6407232704402516,0.8144654088050315
6.0,0.6407232704402516,0.8223270440251572
6.1000000000000005,0.6407232704402516,0.8349056603773585
6.2,0.6407232704402516,0.8411949685534591
6.300000000000001,0.639937106918239,0.8514150943396226
6.4,0.639937106918239,0.8616352201257862
6.5,0.6391509433962265,0.8702830188679245
6.6000000000000005,0.6391509433962265,0.8797169811320755
6.7,0.6383647798742138,0.8875786163522013
6.800000000000001,0.6383647798742138,0.8962264150943396
6.9,0.6383647798742138,0.9017295597484277
7.0,0.6375786163522013,0.9119496855345912
7.1000000000000005,0.6375786163522013,0.9150943396226415
7.2,0.6375786163522013,0.9213836477987422
7.300000000000001,0.6375786163522013,0.9276729559748428
7.4,0.6375786163522013,0.9323899371069182
7.5,0.6375786163522013,0.9394654088050315
7.6000000000000005,0.6375786163522013,0.9504716981132075
7.7,0.6375786163522013,0.9575471698113207
7.800000000000001,0.6375786163522013,0.9614779874213837
7.9,0.6375786163522013,0.9654088050314465
8.0,0.6375786163522013,0.9685534591194969
8.1,0.6375786163522013,0.9740566037735849
8.200000000000001,0.6375786163522013,0.9779874213836478
8.3,0.6375786163522013,0.9811320754716981
8.4,0.6375786163522013,0.9834905660377359
8.5,0.6375786163522013,0.9858490566037735
8.6,0.6375786163522013,0.9858490566037735
